ISO 8859-1 (1987).  Descriptions in words aren't all that helpful,
the character set should be available from the same archive as this


21  EXCLAMATION MARK            A1  INVERTED EXCLAMATION MARK
23  NUMBER SIGN                 A3  POUND SIGN
25  PERCENT SIGN                A5  YEN SIGN
27  APOSTROPHE                  A7  SECTION SIGN
29  RIGHT PARENTHESIS           A9  COPYRIGHT SIGN
2B  PLUS SIGN                   AB  LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
2D  HYPHEN-MINUS                AD  SOFT HYPHEN
2F  SOLIDUS                     AF  OVERLINE
31  DIGIT ONE                   B1  PLUS-MINUS SIGN
33  DIGIT THREE                 B3  SUPERSCRIPT THREE
35  DIGIT FIVE                  B5  MICRO SIGN
37  DIGIT SEVEN                 B7  MIDDLE DOT
39  DIGIT NINE                  B9  SUPERSCRIPT ONE
3B  SEMICOLON                   BB  RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
3D  EQUALS SIGN                 BD  VULGAR FRACTION ONE HALF
3F  QUESTION MARK               BF  INVERTED QUESTION MARK
41  CAPITAL LETTER A            C1  CAPITAL LETTER A WITH ACUTE
43  CAPITAL LETTER C            C3  CAPITAL LETTER A WITH TILDE
45  CAPITAL LETTER E            C5  CAPITAL LETTER A WITH RING ABOVE
47  CAPITAL LETTER G            C7  CAPITAL LETTER C WITH CEDILLA
49  CAPITAL LETTER I            C9  CAPITAL LETTER E WITH ACUTE
4B  CAPITAL LETTER K            CB  CAPITAL LETTER E WITH DIAERESIS
4D  CAPITAL LETTER M            CD  CAPITAL LETTER I WITH ACUTE
4F  CAPITAL LETTER O            CF  CAPITAL LETTER I WITH DIAERESIS
51  CAPITAL LETTER Q            D1  CAPITAL LETTER N WITH TILDE
53  CAPITAL LETTER S            D3  CAPITAL LETTER O WITH ACUTE
55  CAPITAL LETTER U            D5  CAPITAL LETTER O WITH TILDE
57  CAPITAL LETTER W            D7  MULTIPLICATION SIGN
59  CAPITAL LETTER Y            D9  CAPITAL LETTER U WITH GRAVE
5B  LEFT SQUARE BRACKET         DB  CAPITAL LETTER U WITH CIRCUMFLEX
5D  RIGHT SQUARE BRACKET        DD  CAPITAL LETTER Y WITH ACUTE
5F  LOW LINE                    DF  SMALL LETTER SHARP S (German)
61  SMALL LETTER A              E1  SMALL LETTER A WITH ACUTE
63  SMALL LETTER C              E3  SMALL LETTER A WITH TILDE
65  SMALL LETTER E              E5  SMALL LETTER A WITH RING ABOVE
67  SMALL LETTER G              E7  SMALL LETTER C WITH CEDILLA
69  SMALL LETTER I              E9  SMALL LETTER E WITH ACUTE
6B  SMALL LETTER K              EB  SMALL LETTER E WITH DIAERESIS
6D  SMALL LETTER M              ED  SMALL LETTER I WITH ACUTE
6F  SMALL LETTER O              EF  SMALL LETTER I WITH DIAERESIS
71  SMALL LETTER Q              F1  SMALL LETTER N WITH TILDE
73  SMALL LETTER S              F3  SMALL LETTER O WITH ACUTE
75  SMALL LETTER U              F5  SMALL LETTER O WITH TILDE
77  SMALL LETTER W              F7  DIVISION SIGN
79  SMALL LETTER Y              F9  SMALL LETTER U WITH GRAVE
7B  LEFT CURLY BRACKET          FB  SMALL LETTER U WITH CIRCUMFLEX
7D  RIGHT CURLY BRACKET         FD  SMALL LETTER Y WITH ACUTE
                                FF  SMALL LETTER Y WITH DIAERESIS
